Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
123.393,45.288,2001,1,13,536.6,536.6,536.6,41.27692308,6975.8,38.32857143,7512.4,Deforestation
123.323,45.289,2000,1,14,173.71,173.71,173.71,12.40785714,2431.94,11.58066667,2605.65,Deforestation
123.349,45.289,1995,1,19,551.09,551.09,551.09,29.00473684,10470.71,27.5545,11021.8,Deforestation
123.351,45.289,1995,1,11,394.89,394.89,394.89,35.89909091,4343.79,32.9075,4738.68,Deforestation
123.355,45.289,1995,1,18,281.52,281.52,281.52,15.64,5067.36,14.81684211,5348.88,Deforestation
123.357,45.289,1995,1,18,253.83,253.83,253.83,14.10166667,4568.94,13.35947368,4822.77,Deforestation
123.389,45.29,1989,1,25,663.46,663.46,663.46,26.5384,16586.5,25.51769231,17249.96,Deforestation
123.391,45.29,1989,1,25,643.76,643.76,643.76,25.7504,16094,24.76,16737.76,Deforestation
123.393,45.29,1989,1,25,533.28,533.28,533.28,21.3312,13332,20.51076923,13865.28,Deforestation
123.325,45.291,1987,1,11,711.81,711.81,711.81,64.71,7829.91,59.3175,8541.72,Deforestation
123.327,45.291,1987,1,11,501.16,501.16,501.16,45.56,5512.76,41.76333333,6013.92,Deforestation
123.333,45.291,1996,1,11,332.69,332.69,332.69,30.24454545,3659.59,27.72416667,3992.28,Deforestation
123.337,45.291,1986,2,11,534.56,267.28,1069.12,48.59636364,5880.16,41.12,6949.28,Deforestation
123.339,45.291,1986,1,24,277.93,277.93,277.93,11.58041667,6670.32,11.1172,6948.25,Deforestation
123.385,45.292,1989,2,24,276.71,138.355,553.42,11.52958333,6641.04,10.64269231,7194.46,Deforestation
123.389,45.292,1989,2,14,557.54,278.77,1115.08,39.82428571,7805.56,34.84625,8920.64,Deforestation
123.391,45.292,1989,3,14,392.6,130.8666667,1177.8,28.04285714,5496.4,23.09411765,6674.2,Deforestation
123.393,45.292,1989,2,22,679.1,339.55,1358.2,30.86818182,14940.2,28.29583333,16298.4,Deforestation
123.321,45.293,1996,1,11,288.37,288.37,288.37,26.21545455,3172.07,24.03083333,3460.44,Deforestation
123.325,45.293,1998,1,13,377.99,377.99,377.99,29.07615385,4913.87,26.99928571,5291.86,Deforestation
123.327,45.293,2003,1,11,586.12,586.12,586.12,53.28363636,6447.32,48.84333333,7033.44,Deforestation
123.331,45.293,1987,1,21,483.54,483.54,483.54,23.02571429,10154.34,21.97909091,10637.88,Deforestation
123.337,45.293,1986,2,24,669.72,334.86,1339.44,27.905,16073.28,25.75846154,17412.72,Deforestation
123.383,45.294,1989,1,12,208.45,208.45,208.45,17.37083333,2501.4,16.03461538,2709.85,Deforestation
123.385,45.294,1989,2,14,338.35,169.175,676.7,24.16785714,4736.9,21.146875,5413.6,Deforestation
123.389,45.294,1989,2,13,335.79,167.895,671.58,25.83,4365.27,22.386,5036.85,Deforestation
123.391,45.294,1989,3,20,680.05,226.6833333,2040.15,34.0025,13601,29.5673913,15641.15,Deforestation
123.393,45.294,1989,1,24,661.74,661.74,661.74,27.5725,15881.76,26.4696,16543.5,Deforestation
123.323,45.295,1996,3,16,314.88,104.96,944.64,19.68,5038.08,16.57263158,5982.72,Deforestation
123.325,45.295,1996,1,18,167.82,167.82,167.82,9.323333333,3020.76,8.832631579,3188.58,Deforestation
123.327,45.295,2003,1,11,161.85,161.85,161.85,14.71363636,1780.35,13.4875,1942.2,Deforestation
123.331,45.295,1986,2,15,808.14,404.07,1616.28,53.876,12122.1,47.53764706,13738.38,Deforestation
123.333,45.295,1986,2,15,841.07,420.535,1682.14,56.07133333,12616.05,49.47470588,14298.19,Deforestation
123.335,45.295,1987,1,20,398.23,398.23,398.23,19.9115,7964.6,18.96333333,8362.83,Deforestation
123.337,45.295,1996,2,14,792.3,396.15,1584.6,56.59285714,11092.2,49.51875,12676.8,Deforestation
123.339,45.295,1986,2,11,721.65,360.825,1443.3,65.60454545,7938.15,55.51153846,9381.45,Deforestation
123.363,45.295,2000,2,13,518.03,259.015,1036.06,39.84846154,6734.39,34.53533333,7770.45,Deforestation
123.369,45.295,2000,2,13,713.23,356.615,1426.46,54.86384615,9271.99,47.54866667,10698.45,Deforestation
123.371,45.295,1985,2,22,501.22,250.61,1002.44,22.78272727,11026.84,20.88416667,12029.28,Deforestation
123.383,45.295,1989,2,13,459.98,229.99,919.96,35.38307692,5979.74,30.66533333,6899.7,Deforestation
123.383,45.296,1989,1,25,308.67,308.67,308.67,12.3468,7716.75,11.87192308,8025.42,Deforestation
123.321,45.297,1988,1,26,245.08,245.08,245.08,9.426153846,6372.08,9.077037037,6617.16,Deforestation
123.323,45.297,1988,1,24,250.25,250.25,250.25,10.42708333,6006,10.01,6256.25,Deforestation
