Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-123.171,44.01,1999,5,11,-140.61,-28.122,-703.05,-12.78272727,-1546.71,-8.788125,-2249.76,Insect
-123.251,44.01,1987,7,21,-63.5,-9.071428571,-444.5,-3.023809524,-1333.5,-2.267857143,-1778,Insect
-123.858,44.11,1987,8,11,-192.85,-24.10625,-1542.8,-17.53181818,-2121.35,-10.15,-3664.15,Insect
-123.4,44.142,1987,6,6,-70.28,-11.71333333,-421.68,-11.71333333,-421.68,-5.856666667,-843.36,Insect
-123.4,44.192,1987,14,14,-240.82,-17.20142857,-3371.48,-17.20142857,-3371.48,-8.600714286,-6742.96,Insect
-123.698,44.1,2000,6,4,-38.01,-6.335,-228.06,-9.5025,-152.04,-3.801,-380.1,Insect
-123.808,44.1,1987,6,16,-78.32,-13.05333333,-469.92,-4.895,-1253.12,-3.56,-1723.04,Insect
-123.958,44.2,1987,10,15,-259.85,-25.985,-2598.5,-17.32333333,-3897.75,-10.394,-6496.25,Insect
-122.608,44.4,1987,6,12,-243.78,-40.63,-1462.68,-20.315,-2925.36,-13.54333333,-4388.04,Insect
-122.748,44.4,1987,9,19,-92.47,-10.27444444,-832.23,-4.866842105,-1756.93,-3.3025,-2589.16,Insect
-122.908,44.4,1995,6,14,-42.57,-7.095,-255.42,-3.040714286,-595.98,-2.1285,-851.4,Insect
-123.068,44.4,1987,5,23,-195.67,-39.134,-978.35,-8.507391304,-4500.41,-6.988214286,-5478.76,Insect
-123.198,44.4,1987,12,12,-225.16,-18.76333333,-2701.92,-18.76333333,-2701.92,-9.381666667,-5403.84,Insect
-123.268,44.4,1987,5,1,-18.91,-3.782,-94.55,-18.91,-18.91,-3.151666667,-113.46,Insect
-123.4,44.592,1987,9,14,-121.84,-13.53777778,-1096.56,-8.702857143,-1705.76,-5.297391304,-2802.32,Insect
-123.4,44.742,1987,11,8,-104.04,-9.458181818,-1144.44,-13.005,-832.32,-5.475789474,-1976.76,Insect
-123.4,44.842,1987,16,12,-466.45,-29.153125,-7463.2,-38.87083333,-5597.4,-16.65892857,-13060.6,Insect
-123.4,45.142,1987,5,23,-73.02,-14.604,-365.1,-3.174782609,-1679.46,-2.607857143,-2044.56,Insect
122.2,43.2,2005,8,5,-50.796,-6.3495,-406.368,-10.1592,-253.98,-3.907384615,-660.348,Insect
-122.989,43.992,0,0,0,0,0,0,0,0,0,0,None
-123.009,43.992,0,0,0,0,0,0,0,0,0,0,None
-123.019,43.992,0,0,0,0,0,0,0,0,0,0,None
-123.029,43.992,0,0,0,0,0,0,0,0,0,0,None
-122.889,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.899,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.929,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.939,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.949,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.959,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.979,44.01,0,0,0,0,0,0,0,0,0,0,None
-122.999,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.019,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.029,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.041,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.071,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.081,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.091,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.101,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.111,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.141,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.181,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.191,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.211,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.221,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.231,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.241,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.261,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.271,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.291,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.351,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.391,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.441,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.481,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.491,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.878,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.908,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.918,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.928,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.938,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.958,44.01,0,0,0,0,0,0,0,0,0,0,None
-123.4,44.042,0,0,0,0,0,0,0,0,0,0,None
-122.539,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.549,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.559,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.569,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.579,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.599,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.609,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.619,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.639,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.679,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.699,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.759,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.789,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.799,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.819,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.829,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.849,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.859,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.869,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.879,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.889,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.909,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.929,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.939,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.949,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.959,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.969,44.04,0,0,0,0,0,0,0,0,0,0,None
-122.989,44.04,0,0,0,0,0,0,0,0,0,0,None
